oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	dobmatch	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num	streetnum	regaddr.ll	altstreet_match
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	1	0	1	1	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
